age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K
8,0,2,8,2,2,3,0,0,0,35,39,0,0
22,1,7,8,0,1,2,0,1,4,0,34,0,0
21,0,16,12,0,3,2,0,1,0,0,49,0,0
30,0,9,11,1,0,3,4,0,0,0,35,0,0
22,3,7,13,0,5,2,0,1,0,0,39,13,1
27,1,3,8,0,1,2,0,1,0,0,59,0,0
11,0,10,10,0,8,0,0,0,0,0,34,0,0
4,0,1,9,2,3,1,0,1,0,0,19,0,0
33,0,4,9,0,1,2,1,1,0,0,39,0,1
45,2,3,8,0,1,2,0,1,0,0,39,0,0
11,0,14,9,2,3,1,0,0,0,0,39,0,0
3,0,20,9,2,2,1,0,1,0,0,29,20,0
29,0,12,10,2,5,3,0,0,0,31,39,0,1
54,0,6,9,2,0,4,0,1,0,0,39,0,0
15,0,11,8,2,10,5,4,0,0,0,29,0,0
6,0,11,9,0,2,2,0,1,0,0,23,0,0
20,0,6,8,4,2,5,0,0,0,0,23,0,0
48,0,11,6,0,1,2,0,1,0,43,39,0,0
27,8,11,9,1,14,3,0,0,0,0,39,0,0
31,4,11,9,1,8,5,0,0,0,0,37,20,0
18,0,12,8,2,8,3,0,0,0,0,39,0,0
17,0,10,12,2,4,4,1,0,0,0,39,15,0
5,0,19,8,2,1,1,0,1,0,0,34,0,0
36,8,16,8,1,14,3,0,1,0,0,44,0,1
32,0,11,8,0,1,2,0,1,0,0,45,0,0
7,0,13,12,2,6,3,0,1,0,0,39,0,0
55,1,32,9,3,3,5,4,1,0,36,1,0,0
13,0,12,8,1,1,3,0,1,0,0,59,0,0
26,0,14,12,3,2,4,4,1,0,0,49,0,0
52,8,1,1,1,14,3,0,0,0,0,19,0,0
9,0,16,8,2,2,5,0,0,0,0,39,0,0
28,2,4,13,1,4,5,1,0,0,0,39,0,0
12,0,5,8,2,4,3,1,0,0,0,39,2,0
29,1,12,13,0,3,2,0,1,0,0,39,0,1
20,0,13,9,1,2,5,0,0,0,0,39,20,0
23,3,15,11,2,4,3,0,1,0,0,41,0,0
30,5,6,13,4,12,5,0,1,0,0,39,0,0
2,0,1,6,2,6,1,0,1,0,0,15,0,0
50,4,3,10,4,5,3,0,0,0,0,19,0,0
11,0,7,8,2,2,3,0,1,0,39,39,0,0
12,5,11,8,0,12,2,0,1,0,0,39,0,0
35,0,5,9,0,3,2,0,1,0,39,39,0,1
11,0,28,12,2,1,3,0,1,0,0,49,0,0
12,5,9,12,0,5,2,0,1,0,0,39,0,1
11,0,16,8,5,3,5,0,0,0,0,24,0,0
5,0,20,8,2,1,1,4,1,0,0,39,0,0
18,0,31,8,2,6,3,4,1,0,0,39,0,0
2,0,11,8,2,2,1,0,1,0,0,11,0,0
17,0,1,12,0,5,2,0,1,0,0,64,0,0
28,4,11,9,0,4,2,4,1,0,0,37,0,1
27,0,7,9,1,8,3,0,0,0,0,39,0,0
14,0,41,9,2,1,3,4,1,0,0,44,0,0
24,0,18,3,0,7,2,0,1,0,0,39,20,1
21,3,1,9,0,8,2,0,1,0,0,41,0,1
18,0,19,8,0,8,2,4,1,0,0,39,0,0
25,1,8,12,1,4,3,0,0,0,0,39,0,0
37,8,8,12,1,14,3,0,0,0,0,49,0,0
15,0,6,13,0,5,0,0,0,0,0,49,0,0
42,5,6,15,0,5,2,0,1,0,0,0,0,1
22,0,9,9,1,7,3,4,0,0,0,27,0,0
8,0,10,9,0,7,2,0,1,0,0,39,0,0
25,4,34,12,0,1,2,4,1,0,0,39,0,0
31,0,7,9,0,0,2,0,1,0,0,44,0,0
25,3,8,12,0,0,2,0,1,0,0,23,0,0
7,0,12,2,0,10,4,0,1,0,0,39,20,0
20,0,5,9,1,1,3,0,1,0,0,39,0,0
24,3,3,13,2,4,3,0,0,14,0,54,0,1
19,0,8,13,0,5,4,0,1,7,0,39,0,1
8,1,1,8,2,3,3,0,1,0,0,39,0,0
10,0,25,13,2,5,3,0,0,0,37,39,0,0
3,8,10,8,2,14,1,0,1,0,0,39,16,0
35,0,16,12,0,4,2,0,1,0,0,49,0,1
26,4,16,9,2,5,3,0,0,0,26,39,0,0
21,5,2,8,1,8,5,0,0,0,0,34,0,0
2,0,8,6,2,3,1,0,0,0,0,39,0,0
20,0,7,12,0,2,2,4,1,7,0,35,0,1
19,0,1,8,1,1,3,0,1,0,0,59,0,0
42,2,13,8,0,3,0,0,0,15,0,34,0,1
1,0,3,6,2,3,1,0,0,0,0,11,0,0
28,4,10,8,0,10,2,4,1,0,0,39,0,0
21,0,13,8,0,1,2,0,1,0,0,39,0,1
19,0,9,9,2,3,3,2,0,0,0,39,0,0
44,0,5,8,0,1,2,1,1,0,0,39,0,0
38,2,7,3,0,7,2,0,1,0,0,39,0,1
21,0,42,12,2,4,3,4,1,0,0,59,0,1
34,0,20,11,1,3,3,0,0,0,0,39,0,0
22,0,11,12,0,3,2,0,1,0,0,49,17,0
29,0,6,12,0,5,2,0,1,0,0,54,0,0
9,0,16,5,2,1,3,0,1,0,0,39,0,0
15,0,12,9,0,6,2,0,1,0,0,39,0,0
48,8,11,1,1,14,3,0,1,0,0,39,0,0
74,0,2,8,2,2,3,4,1,0,44,39,0,0
38,0,11,8,0,8,2,4,1,0,0,19,0,0
37,4,8,0,2,7,3,0,0,0,0,34,0,0
2,0,15,8,2,3,1,0,0,0,0,39,0,0
44,8,0,5,1,14,3,2,0,0,0,9,0,0
50,1,10,8,0,9,2,0,1,1,0,49,0,0
59,0,20,10,4,8,3,0,0,0,0,19,29,0
49,0,11,8,1,8,3,0,0,0,0,39,0,0
19,0,35,6,3,10,3,4,1,3,0,39,0,0
25,0,8,8,1,3,5,4,0,0,0,37,0,0
9,0,10,9,2,8,3,0,1,0,0,41,0,0
17,0,6,9,1,1,4,3,0,0,0,39,0,0
12,0,4,14,2,5,3,0,1,0,0,54,0,1
43,5,17,8,0,2,2,0,1,0,0,39,0,0
24,5,10,9,2,8,3,0,0,0,0,37,0,0
25,0,11,12,0,4,2,0,1,0,0,49,13,1
22,4,7,13,0,4,2,0,1,0,0,69,0,1
7,0,7,8,2,10,1,0,1,0,0,39,0,0
24,0,22,12,0,5,2,0,1,0,0,39,0,1
25,1,12,8,0,2,0,0,0,0,0,19,0,0
8,5,17,11,0,12,2,0,1,0,0,49,0,0
4,8,7,9,2,14,1,0,1,0,0,19,0,0
22,0,11,9,1,1,3,0,1,0,34,39,0,0
40,0,12,8,0,8,2,0,1,0,0,34,41,0
42,0,15,8,0,8,2,0,1,0,0,44,0,1
16,0,11,8,2,2,3,0,0,0,0,33,0,0
24,0,13,11,0,0,2,0,1,0,39,59,0,1
29,0,9,8,0,8,2,0,1,0,0,39,41,0
25,0,6,14,0,5,0,0,0,0,0,39,0,1
26,0,25,12,0,8,0,4,0,0,0,39,0,0
43,4,10,5,4,2,5,4,0,0,0,29,0,0
3,4,1,9,2,8,1,0,1,0,0,39,0,0
42,0,16,9,2,10,3,0,1,0,0,19,0,0
26,1,19,8,0,9,2,1,1,0,0,39,1,1
4,0,7,8,2,2,1,0,0,0,0,39,0,0
16,0,10,8,3,2,3,0,0,0,0,29,0,0
29,0,11,10,4,4,3,0,0,0,0,44,0,0
34,0,13,3,1,1,3,0,1,0,0,39,0,0
20,0,9,12,1,5,1,0,0,0,0,39,0,0
29,0,5,8,0,3,2,0,1,0,0,59,0,0
1,0,15,6,2,2,1,0,1,0,0,11,0,0
43,0,9,9,0,3,2,0,1,4,0,39,0,0
10,0,24,6,0,1,2,0,1,0,0,39,0,0
21,2,16,9,0,4,2,1,1,0,0,74,34,1
3,8,14,9,2,14,1,0,1,0,0,23,4,0
48,0,0,8,0,4,2,0,1,0,0,39,0,1
17,0,11,12,2,5,3,0,0,0,0,44,0,0
17,0,14,8,0,1,0,0,0,0,0,39,0,1
45,0,4,8,0,4,2,0,1,0,0,39,0,1
1,0,12,4,2,2,1,0,1,1,0,23,0,0
34,1,1,13,0,9,2,0,1,2,0,97,0,0
11,4,13,13,2,5,1,0,1,0,0,34,0,0
14,0,4,8,1,5,1,0,0,0,0,39,0,0
27,0,31,8,0,6,2,4,1,0,0,39,0,0
28,0,10,9,0,1,2,0,1,7,0,39,0,1
19,0,12,9,2,4,3,0,0,0,0,39,0,0
9,0,12,9,2,0,1,0,0,0,0,39,0,0
8,0,18,9,0,7,0,0,0,7,0,47,0,1
6,0,1,12,2,5,3,0,0,0,0,14,5,0
26,4,5,9,0,1,2,0,1,5,0,39,0,1
18,0,11,11,1,3,5,4,0,0,0,44,0,0
44,0,11,12,1,5,3,0,0,0,0,41,0,0
5,0,13,8,2,6,1,0,1,0,0,39,0,0
41,3,27,13,0,3,2,0,1,15,0,39,0,1
25,0,14,14,0,5,2,0,1,0,0,59,0,1
34,0,11,9,1,2,3,0,1,0,0,44,0,0
9,0,24,12,2,4,3,0,0,0,0,39,0,0
34,0,12,3,0,1,2,0,1,0,0,39,26,0
20,0,12,12,0,5,2,0,1,0,0,44,0,0
15,0,7,8,1,5,3,0,0,0,0,39,0,0
13,4,14,12,2,12,3,0,1,0,0,55,0,0
5,0,14,9,2,3,1,0,1,0,0,44,0,0
11,0,16,12,2,0,5,4,0,0,0,39,0,0
49,0,6,8,0,10,2,0,1,0,0,15,0,0
21,2,3,12,1,3,3,0,0,0,0,59,0,0
23,8,9,13,0,14,0,1,0,3,0,39,41,0
8,0,17,8,2,1,1,0,1,0,0,39,0,0
22,0,10,8,1,3,3,0,1,0,0,79,0,0
32,0,9,12,0,8,2,0,1,7,0,39,0,1
5,0,9,9,2,2,3,1,0,0,0,24,0,0
15,0,13,8,0,10,2,0,1,0,0,44,0,1
39,0,15,8,0,3,2,0,1,4,0,39,0,1
8,0,19,9,0,8,0,1,0,0,0,39,25,0
27,0,10,8,1,8,3,0,0,0,0,39,0,0
10,0,12,11,2,0,3,0,1,0,0,44,0,0
30,0,4,11,2,5,3,0,0,0,0,32,0,0
19,0,12,11,0,8,2,0,1,0,0,39,0,1
25,2,1,9,0,9,2,0,1,0,0,53,0,1
10,0,3,12,2,3,3,0,1,0,0,39,0,0
18,0,8,13,0,4,2,1,1,7,0,34,27,1
3,8,57,9,2,14,1,4,0,0,0,24,0,0
20,1,13,12,1,5,3,4,0,0,0,39,0,1
6,0,12,9,2,3,1,0,1,0,0,14,0,0
8,0,12,9,2,7,3,0,1,0,0,39,0,0
61,1,8,9,0,3,2,0,1,0,0,39,0,0
6,0,26,2,0,7,4,0,0,0,0,39,20,0
13,0,27,9,2,0,3,0,0,0,0,39,0,0
46,0,10,8,4,2,3,0,0,0,0,23,0,0
23,1,11,8,0,4,2,0,1,0,0,39,0,0
27,0,2,9,0,1,2,0,1,0,29,49,0,0
19,0,11,8,1,10,3,0,1,0,0,44,0,0
13,0,12,6,2,4,3,0,0,0,0,39,0,0
60,1,11,13,0,1,2,0,1,0,0,9,0,0
47,1,4,8,0,9,2,0,1,0,0,44,0,0
7,8,13,10,2,14,1,4,0,0,0,14,0,0
27,0,11,9,0,5,0,0,0,0,37,49,0,1
42,1,20,8,0,6,2,0,1,0,0,39,0,0
50,0,7,8,2,10,3,0,1,2,0,54,0,0
25,0,13,9,2,1,3,4,1,0,0,44,0,0
10,0,14,12,2,8,3,0,1,0,0,39,0,0
31,0,11,10,2,2,3,0,1,0,0,39,0,0
39,4,5,5,0,8,2,0,1,0,0,39,0,0
37,0,15,8,0,10,2,0,1,0,0,39,0,0
1,0,17,2,2,2,4,0,1,0,0,47,20,0
14,0,5,8,2,1,4,0,1,0,0,39,0,0
33,0,4,13,2,5,3,0,1,0,0,59,0,0
3,0,6,8,2,3,5,4,1,0,0,29,28,0
29,0,16,8,0,2,2,4,1,0,0,39,0,0
10,0,5,11,2,3,3,0,1,0,0,39,0,0
22,0,19,10,0,1,2,0,1,7,0,39,0,1
20,5,7,8,0,12,2,0,1,7,0,39,0,1
17,0,5,8,2,9,3,0,1,0,0,19,0,0
6,5,19,9,2,12,1,4,0,0,0,39,0,0
27,1,15,12,2,3,3,0,1,0,0,41,0,0
51,8,1,6,0,14,2,0,1,0,0,7,0,0
14,8,9,10,1,14,5,0,0,0,0,39,0,0
40,0,6,11,5,2,3,0,1,0,0,24,13,0
15,0,9,12,2,5,1,0,1,0,0,24,0,0
17,0,7,12,0,4,2,0,1,0,0,39,0,1
10,0,12,8,0,2,2,0,1,0,0,39,0,0
17,0,6,12,0,4,2,0,1,0,0,39,0,1
30,4,21,6,0,10,2,0,1,0,0,29,0,0
43,8,24,12,0,14,2,0,1,0,0,39,0,1
22,3,5,8,0,8,2,0,1,0,0,39,0,1
49,0,10,6,4,2,5,3,1,0,0,39,0,0
24,0,5,10,0,0,2,0,1,0,0,39,0,1
26,0,6,8,0,8,0,0,0,0,0,34,0,0
10,1,7,4,0,1,2,0,1,0,0,39,21,0
20,0,22,5,0,2,0,0,0,0,0,23,0,0
46,0,17,13,0,5,2,0,1,0,0,39,0,1
27,0,11,12,0,10,2,0,1,0,0,44,0,0
27,0,11,12,1,4,3,0,1,0,31,44,0,1
6,0,26,8,5,3,3,0,1,0,0,54,0,0
12,0,5,8,0,1,2,0,1,0,0,39,0,0
40,1,11,9,0,3,2,0,1,0,0,44,0,0
6,0,23,11,2,3,3,0,0,0,0,14,0,0
41,0,13,12,1,4,3,0,0,0,0,44,0,1
23,0,31,8,1,3,5,0,0,0,0,39,0,0
10,3,11,9,2,8,5,0,0,0,0,14,0,0
1,0,5,6,2,2,1,0,1,0,0,9,0,0
24,5,11,10,0,7,2,0,1,0,0,37,0,1
29,0,16,8,0,7,2,4,1,0,0,39,0,0
28,0,10,8,2,1,3,4,1,0,0,39,0,0
4,4,22,9,2,8,1,0,0,0,0,9,0,0
17,0,17,8,0,1,0,0,0,0,0,39,0,0
7,0,1,9,2,3,3,0,1,0,0,39,0,0
30,1,4,13,1,4,3,0,1,0,0,29,0,0
22,0,10,8,0,3,2,0,1,0,0,49,0,0
38,0,11,8,1,10,3,0,1,0,0,39,0,0
30,0,13,2,1,1,3,0,0,0,46,44,0,0
9,0,22,9,0,1,2,0,1,0,0,39,0,0
30,0,6,9,1,3,3,0,0,0,0,39,0,0
20,4,7,9,0,10,0,0,0,0,0,39,0,0
7,0,25,8,2,2,3,0,0,0,0,24,0,0
13,0,8,8,3,7,3,0,1,0,0,39,0,0
28,0,10,9,0,8,0,0,0,0,48,5,0,1
3,0,1,9,2,8,1,0,0,0,0,15,0,0
3,0,14,8,2,2,4,0,0,0,0,39,0,0
19,0,14,8,0,2,0,0,0,0,0,39,0,1
11,0,19,12,2,1,3,0,1,0,0,49,0,0
30,1,17,11,3,1,3,0,1,0,0,39,0,0
18,5,5,12,0,4,2,0,1,7,0,44,41,1
18,0,12,8,2,2,3,0,0,0,0,34,0,0
28,0,7,9,0,0,2,0,1,0,0,39,0,0
29,0,5,9,1,6,5,0,0,0,0,39,0,0
4,8,8,8,2,14,4,0,0,0,0,34,0,0
9,0,5,12,0,4,2,0,1,0,0,54,0,1
36,2,8,12,0,4,2,0,1,0,0,49,0,1
4,0,27,9,2,6,1,0,1,0,0,39,0,0
12,0,6,9,2,2,3,0,0,0,0,39,0,0
34,5,18,12,0,12,2,0,1,0,0,39,0,1
18,0,14,10,1,0,3,0,0,0,0,63,0,0
12,0,10,3,0,6,2,3,1,0,43,39,3,0
25,0,29,13,0,4,2,0,1,0,39,64,0,1
12,0,6,8,0,8,2,0,1,0,0,39,0,0
30,1,20,8,0,1,2,0,1,0,0,24,0,0
12,8,7,9,0,14,0,0,0,0,37,39,0,1
16,0,23,9,0,4,2,0,1,0,0,49,0,0
25,4,2,9,1,2,3,4,0,0,0,23,0,0
8,0,15,8,2,6,5,4,0,0,0,39,0,0
17,0,7,9,1,4,5,0,0,0,0,39,0,0
30,0,11,15,0,4,2,0,1,15,0,59,0,1
15,5,68,9,0,7,2,0,1,0,0,39,0,0
19,0,5,7,1,1,3,0,1,0,0,49,0,1
36,0,12,1,0,7,2,0,1,0,0,39,20,0
14,0,27,6,2,2,1,0,0,0,0,18,0,0
18,4,15,6,3,7,3,4,1,0,0,39,0,0
18,5,15,8,1,10,5,0,0,0,0,39,0,0
4,0,3,9,0,3,2,0,1,0,0,29,0,0
1,0,11,6,2,6,1,0,1,2,0,17,0,0
16,5,5,12,0,4,0,0,0,0,0,39,0,1
13,0,11,8,1,9,3,0,1,0,0,39,0,0
17,0,14,5,2,1,5,0,0,0,0,34,0,0
9,0,8,8,0,10,2,0,1,0,0,59,0,0
20,3,16,13,2,5,3,0,1,0,28,39,0,0
7,0,13,8,2,6,3,0,1,0,0,71,24,0
47,2,14,8,0,4,2,0,1,0,0,39,0,1
31,4,18,13,0,5,2,0,1,0,0,39,0,0
64,8,6,8,4,14,3,0,1,0,0,23,0,0
1,8,12,6,2,14,1,0,1,0,0,39,0,0
24,1,13,12,5,5,3,0,0,2,0,39,0,0
14,0,1,11,0,2,0,0,0,0,0,24,0,1
11,0,7,9,2,1,1,1,1,0,39,39,15,0
17,0,13,13,0,5,2,0,1,0,0,49,0,1
18,4,18,8,2,9,3,4,1,0,0,59,0,0
18,4,7,9,2,12,3,0,0,0,0,39,0,0
7,0,4,9,0,8,2,0,1,0,0,39,0,0
26,4,22,9,0,8,0,0,0,0,0,39,0,0
13,0,23,12,2,5,3,0,1,0,0,39,0,0
29,0,2,8,1,8,3,0,0,0,0,27,0,0
8,3,12,8,2,13,1,0,1,0,0,39,0,0
28,0,7,9,0,5,2,0,1,0,0,39,0,1
11,0,26,4,2,1,4,0,1,0,0,39,20,0
4,0,19,9,2,3,3,0,1,0,0,34,0,0
28,0,18,8,4,4,5,4,0,0,0,39,0,0
35,0,3,8,0,1,2,2,1,0,0,39,0,0
4,0,9,8,0,7,2,0,1,0,0,39,0,0
1,8,16,6,2,14,1,0,0,0,0,4,0,0
3,0,13,8,2,7,1,4,0,0,0,39,0,0
29,2,12,9,0,1,2,0,1,0,0,54,0,1
44,0,15,8,0,1,2,0,1,0,0,39,0,1
26,0,12,11,0,4,2,4,1,0,0,39,41,1
28,1,15,8,0,3,0,0,0,0,0,39,0,1
24,0,4,10,0,7,2,1,1,0,0,39,0,1
14,0,11,8,0,4,0,0,0,0,0,39,0,0
22,0,22,9,0,10,2,4,1,0,0,49,0,0
7,0,2,8,0,10,2,0,1,0,0,59,0,0
16,8,7,9,0,14,2,0,1,0,0,39,0,0
28,0,7,11,2,9,1,0,1,0,0,39,0,0
38,4,18,8,0,10,2,4,1,0,0,39,0,0
16,0,8,12,0,5,2,0,1,0,0,49,0,0
34,0,12,1,5,1,5,0,1,0,0,39,0,0
8,0,10,12,2,0,3,0,0,0,0,19,0,0
21,0,7,8,0,8,0,0,0,0,0,59,0,0
36,0,1,8,1,10,5,0,1,0,0,39,0,0
22,0,1,9,0,10,2,0,1,0,0,39,0,0
33,0,12,13,0,4,2,0,1,0,39,44,0,1
14,0,7,12,0,0,0,0,0,0,0,15,0,1
44,0,12,9,2,5,5,0,1,0,0,39,0,1
6,8,8,9,2,14,1,0,1,0,0,39,0,0
19,0,18,8,2,1,3,0,1,0,0,39,0,0
14,0,19,8,2,10,3,0,1,0,0,59,0,0
51,0,2,10,1,2,3,0,0,0,0,23,0,0
30,0,18,12,2,1,3,0,0,0,0,39,0,0
1,0,13,4,2,2,3,0,1,0,0,5,0,0
6,0,18,9,2,6,1,0,1,0,0,29,0,0
11,0,10,5,2,2,3,0,1,0,0,39,0,0
7,0,12,8,2,2,5,0,0,0,0,34,0,0
17,0,6,11,0,1,2,0,1,0,0,44,21,0
27,1,10,9,0,1,2,0,1,0,0,19,0,0
12,5,4,12,2,5,3,0,1,0,0,19,0,0
25,0,12,8,5,1,5,0,0,0,0,39,0,0
36,8,17,7,2,14,4,4,1,0,0,39,0,0
9,0,12,9,5,8,1,4,0,0,0,19,0,0
47,8,26,1,0,14,2,0,1,0,0,34,0,0
43,4,18,8,0,10,2,0,1,0,0,44,0,0
29,4,10,12,1,5,5,0,0,0,0,39,0,0
22,0,5,12,0,3,2,0,1,15,0,59,0,1
24,0,22,8,2,2,3,0,0,0,0,34,0,0
30,3,24,8,1,8,3,0,1,0,0,39,0,0
19,0,1,11,2,4,3,0,0,0,0,59,0,0
18,0,11,8,1,5,5,0,0,0,0,24,0,0
17,0,11,12,2,1,1,0,1,0,0,19,0,0
